state,race_ethn,investigation,substantiation,fc,tpr
AK,AIAN,0.7992201638951532,0.30460159680251214,0.19679446374036733,0.02674449703025926
AK,White,0.2797852732629923,0.07316166699560972,0.054279008470201964,0.01226315683245105
AL,AIAN,0.05470050034083129,0.014763249939387393,0.008747947337590267,3.060350104051868e-5
AL,White,0.3611698133297534,0.12711369352936022,0.05220120025247248,0.005926037866319928
AR,AIAN,0.31771992831989015,0.0803057910754867,0.05377969853184915,0.012489600879025842
AR,White,0.697140903565713,0.1763512855348976,0.08294313048457574,0.014649935790322074
AZ,AIAN,0.3603819762310675,0.07750765261546914,0.08306550460581032,0.01701860604886478
AZ,White,0.46745731207519675,0.0934438078090591,0.09617069643653675,0.027467365134712957
CA,AIAN,0.19849973008810845,0.0644023370256669,0.05670536092584648,0.009924087391951164
CA,White,0.33731535517488753,0.08249903208930365,0.04364360143142128,0.008348973856927053
CO,AIAN,0.14997934685243525,0.047231258465483164,0.0337779020432908,0.0030994719840877483
CO,White,0.31973147640017996,0.08973973740186832,0.04067161921182978,0.004984230074395926
CT,AIAN,0.10906884803193602,0.038464541676343056,0.019411187200249855,9.136319655062564e-4
CT,White,0.24099959579612273,0.08290658527388123,0.027972871478226496,0.004813221743003818
DC,AIAN,0.009661885833833664,3.059557016391601e-4,0.008663983603217296,0
DC,White,0.4182853561067629,0.040964172869798615,0.0027896864997397075,9.375428920943563e-5
DE,AIAN,0.05480647149905116,0.010563007665522248,9.925558312654514e-4,0
DE,White,0.46759492223432486,0.0723588833442941,0.024315325959225337,0.004941040204739511
FL,AIAN,0.14136758341942357,0.014255713904911232,0.01802278740360745,0.002686594659166111
FL,White,0.5714348046309234,0.06679030011350352,0.06210203455475331,0.014833837097875974
HI,AIAN,0.12183480595020911,0.04080461934293843,0.035945579405339864,0.004160401417897877
HI,White,0.18844640705665572,0.06719354768381088,0.05867620932570876,0.005212964698421085
IA,AIAN,0.4158843935729438,0.17846843248412933,0.13440570082340342,0.02937178732124973
IA,White,0.3887726999629916,0.12791107334287105,0.0696597780409562,0.013874520142561159
ID,AIAN,0.18176108212577793,0.04084265569790203,0.040570601739700785,0.00882548362534935
ID,White,0.3351947185308618,0.06363470271960335,0.046502704867762645,0.006554266388413527
IL,AIAN,0.08146902813814925,0.0178580141903998,0.007471410730168923,0.0014652012564083522
IL,White,0.41551566017950703,0.10153789176507536,0.024681113794928974,0.0048561026825403725
IN,AIAN,0.29840217739566194,0.06511723883910074,0.04099373999181942,0.00384980316185099
IN,White,0.6315149132951361,0.1772043301318577,0.09680949800022193,0.008062327174940792
KS,AIAN,0.2349969420866349,0.03975756627867684,0.08740688824089914,0.014866075444899374
KS,White,0.3764931498029322,0.057739560404941645,0.08051401973984065,0.013619340524546608
KY,AIAN,0.24475905063102912,0.06699270792164212,0.027139913483324327,0.0025337229054177846
KY,White,0.5883617071797973,0.20753520282437526,0.07887377399326087,0.009060490729943083
LA,AIAN,0.07311678017906184,0.01913575412156529,0.011012401649243012,0.0010239251163079721
LA,White,0.29962319879064264,0.11441405114211234,0.04962937281517202,0.008582595660241277
MA,AIAN,0.3813643886430672,0.1459660806687249,0.0666752083898547,0.014810244606784775
MA,White,0.39523351508740645,0.14699473583553527,0.04648211277338121,0.00587550636256759
MD,AIAN,0.04351146644519846,0.009389997801405536,0.0035487837452853055,2.74093867498007e-4
MD,White,0.24648531929308487,0.054950604235671205,0.018302455265241255,0.00219121328175835
ME,AIAN,0.4877145455416583,0.1562746079905067,0.0736303551926879,0.015016461631859365
ME,White,0.4213232444863818,0.13929759716183365,0.050098085266071804,0.01512449645939197
MI,AIAN,0.404756327551572,0.10754535635396167,0.05338865861911793,0.013944835530848895
MI,White,0.5006705509494198,0.1330780715158909,0.03543777710633714,0.010954357740825926
MN,AIAN,0.6513441074521796,0.24784726241800653,0.3354766539644386,0.04113072065073779
MN,White,0.22303587109920536,0.04496573041905014,0.042075307169489026,0.007954527673337639
MO,AIAN,0.20407255627411883,0.015561469184397145,0.03489389699731203,0.00319770801046651
MO,White,0.46307923232780773,0.05494627755134654,0.07586670414091078,0.010465187598424075
MS,AIAN,0.11281727225393688,0.030893406492349965,0.01556067854416883,3.7542409198225435e-4
MS,White,0.4784523702156035,0.18773185806075876,0.07625360251343516,0.0033931123124580215
MT,AIAN,0.553328775892308,0.22172799671887444,0.2500185651770267,0.032802028559704696
MT,White,0.47757322891761755,0.13437186227605508,0.09400081341170481,0.01337179290059258
NC,AIAN,0.3420960722029943,0.032407929190425566,0.04219990973465734,0.0028711643148616184
NC,White,0.4263491707067947,0.03662473840736971,0.041696530020762027,0.007272931414492395
ND,AIAN,0.5465137408606894,0.23504514818685077,0.2266618964117002,0.03011890556560165
ND,White,0.32690412338525365,0.09276382099900503,0.05448933362672921,0.005182924838854824
NE,AIAN,0.6009454936150171,0.15170050751926756,0.14375881092552573,0.01860871867081404
NE,White,0.37943399833751523,0.06027578019274353,0.05353142700525304,0.009279709165142924
NH,AIAN,0.3037438129237795,0.0401300699913824,0.03553815242521728,0.0056668881136031635
NH,White,0.42445373069011516,0.05290711043379007,0.04123034807124824,0.00473283529080451
NJ,AIAN,0.08149947194112904,0.006857141940882022,0.0059488556429139056,5.499182204899838e-4
NJ,White,0.2867027496904575,0.03926075213625335,0.02132679665701552,0.0036730768030008853
NM,AIAN,0.34262601621224636,0.13466788120608447,0.041921016010047746,0.004396567214303301
NM,White,0.4873408248186178,0.17432630275575417,0.055519991505914815,0.008852487237053647
NV,AIAN,0.17864743004884176,0.03242229512599787,0.04292172291631413,0.004985255125415908
NV,White,0.4037724148869351,0.07749529229919438,0.07845297714038482,0.014152748099976797
NY,AIAN,0.19744802828877916,0.05927962080019353,0.013200734673745634,7.826423843702995e-4
NY,White,0.37349479895054727,0.10885765677044354,0.021652488248624882,0.0026571447616971083
OH,AIAN,0.24745127528092759,0.076238658803027,0.06120387213237764,0.009775024749692468
OH,White,0.34099213833831715,0.09061596914655999,0.04460934433728589,0.006136796190490873
OK,AIAN,0.6140333226553131,0.24493267718749923,0.1269506188465613,0.03312882477024881
OK,White,0.44789146055723683,0.1395307116380393,0.06194166086949468,0.0177525651375251
OR,AIAN,0.4340715470631765,0.1365178665652237,0.11198222280393419,0.006405377992821856
OR,White,0.48790159173875,0.14921579711251165,0.06323878565504326,0.008958049354111722
SC,AIAN,0.09644013662651904,0.023900917294172888,0.015375682073039035,6.079445310687437e-4
SC,White,0.49024757424824494,0.16812234542375457,0.04713148521617083,0.004814901877578728
SD,AIAN,0.468316903210026,0.18089725701170178,0.18879323422136093,0.024926172261516055
SD,White,0.14348259387356885,0.03756879280883338,0.028086068357869226,0.003925426053705494
TN,AIAN,0.24764154558089427,0.028639961949591244,0.019304458066815564,6.530325963074873e-4
TN,White,0.5029307000139371,0.06381606347497108,0.056799393861657554,0.009057715536286134
TX,AIAN,0.1523497853122724,0.03451603332795797,0.01300408318113927,0.0034740573023787913
TX,White,0.37569298350150765,0.10628094603812913,0.04239906716525249,0.010638468322199543
UT,AIAN,0.2516543413169492,0.11512987534830105,0.056536158574036946,0.010151579376154338
UT,White,0.2919724911676599,0.10870790255685274,0.033411911989158646,0.008565750645498346
VA,AIAN,0.059652511185606216,0.006077659344480291,0.0038275803545337744,6.435021682400094e-4
VA,White,0.35397056115616904,0.04834814594287867,0.02431652319080324,0.004791182854168116
VT,AIAN,0.08628878820443471,0.025778031732462015,0.006536861568362973,0
VT,White,0.4188451638522557,0.10485551168670229,0.1038333447950177,0.024981269692771646
WA,AIAN,0.41129392288040156,0.04129701214889267,0.1043058171316626,0.016452698157399512
WA,White,0.2953472308307686,0.024153423597333717,0.047952423586543114,0.008544238955806596
WI,AIAN,0.44378006189008357,0.10934431162737278,0.1392496929837061,0.0075739094841293375
WI,White,0.2340316067486431,0.042742952050165484,0.03782033311469617,0.0036299966973425413
WV,AIAN,0.33647995264126496,0.02128566454549735,0.029930747871865684,0.007064256471901259
WV,White,0.881223768559011,0.2060768902803239,0.163903948574941,0.044922198393809024
WY,AIAN,0.20104567811181312,0.05913865652892686,0.06446492667715248,0.002548366758261658
WY,White,0.3889660351904449,0.09073760173423706,0.09537294747768446,0.004183117979103021
