State,pop_aian21,adopted_aian,fc_aian,pop_nonAIAN21,adopted_non,fc_non,bia_boarding74
Alaska ,28334,957,393,137044,807,496,664
Arizona ,54709,1039,558,685751,3111,2601,10977
California ,39579,1507,319,6929728,31525,20590,714
Idaho ,3808,,296,298902,,3615,
Maine ,1084,,82,395026,,1568,
Michigan ,7404,912,82,3720034,8302,5801,
Minnesota,12672,1594,737,1572514,50543,5541,
Mississippi,,,,,,,197
Montana,15124,541,534,274449,1898,755,
Nevada,3739,,73,187918,345,527,517
New Mexico,41316,,287,420219,77,1225,7428
New York,10627,,142,6715888,1807,30170,
North Dakota,8186,269,296,253812,2943,455,481
Oklahoma ,45489,1116,337,929448,5144,1757,1973
Oregon ,6839,402,247,800372,41716,3502,549
South Dakota ,18322,1019,832,260814,9073,530,1207
Utah ,6690,328,249,482234,7040,1197,1093
Washington ,15980,740,558,1335475,3294,4873,
Wisconsin ,10176,733,545,1814537,7288,7266,
Wyoming,2832,,98,134507,73,446,